review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
still not perfect like before,1,2025-10-15,CBE,Google Play Store,Positive,0.7351,['Other']
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play Store,Negative,-0.6597,['Feature Requests & Reliability']
APPLIED,1,2025-10-14,CBE,Google Play Store,Neutral,0.0,['Other']
10 years ago,4,2025-10-14,CBE,Google Play Store,Neutral,0.0,['Other']
Asefa Obsa,5,2025-10-14,CBE,Google Play Store,Neutral,0.0,['Other']
best app,4,2025-10-14,CBE,Google Play Store,Positive,0.6369,['Other']
it's good app,5,2025-10-14,CBE,Google Play Store,Positive,0.4404,['Other']
very slow,1,2025-10-14,CBE,Google Play Store,Neutral,0.0,['Transaction Performance']
berhan deriba wami,4,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
mahamad Usman,5,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
Erako,5,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
opne,5,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
mehommd nuri,5,2025-10-13,CBE,Google Play Store,Neutral,0.0,['Other']
Best,5,2025-10-12,CBE,Google Play Store,Positive,0.6369,['Other']
providing very secure service.,5,2025-10-12,CBE,Google Play Store,Positive,0.34,"['Account Access & Security', 'Customer Support & Service']"
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play Store,Neutral,0.0,['Other']
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play Store,Neutral,0.0,['Other']
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play Store,Neutral,0.0,['Other']
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11,CBE,Google Play Store,Neutral,0.0,"['Transaction Performance', 'Feature Requests & Reliability']"
Mamma Husen,2,2025-10-11,CBE,Google Play Store,Neutral,0.0,['Other']
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play Store,Positive,0.2263,['Transaction Performance']
exceptional application from others bank,5,2025-10-10,CBE,Google Play Store,Neutral,0.0,['Other']
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play Store,Positive,0.7717,"['Transaction Performance', 'Customer Support & Service']"
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play Store,Positive,0.4404,['Other']
really good app,5,2025-10-10,CBE,Google Play Store,Positive,0.4927,['Other']
smart bank CBE,5,2025-10-10,CBE,Google Play Store,Positive,0.4019,['Other']
Ali urgesa11,3,2025-10-09,CBE,Google Play Store,Neutral,0.0,['Other']
it's good,5,2025-10-09,CBE,Google Play Store,Positive,0.4404,['Other']
Good apps,5,2025-10-09,CBE,Google Play Store,Positive,0.4404,['Other']
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play Store,Neutral,0.0,['Account Access & Security']
best app i ever seen,5,2025-10-09,CBE,Google Play Store,Positive,0.6369,['Other']
it's game changing in financial system,4,2025-10-09,CBE,Google Play Store,Neutral,0.0,['Other']
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play Store,Neutral,0.0,['Other']
will good updating,5,2025-10-08,CBE,Google Play Store,Positive,0.4404,['Other']
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play Store,Positive,0.3182,['Customer Support & Service']
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play Store,Neutral,0.0,['Feature Requests & Reliability']
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play Store,Positive,0.6597,['Other']
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play Store,Positive,0.9022,['Other']
user compatible app!,5,2025-10-08,CBE,Google Play Store,Neutral,0.0,['Other']
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play Store,Positive,0.0701,"['Account Access & Security', 'Feature Requests & Reliability']"
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play Store,Positive,0.8689,['Other']
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play Store,Positive,0.4404,['Other']
Asledin Ibsa,5,2025-10-06,CBE,Google Play Store,Neutral,0.0,['Other']
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play Store,Negative,-0.4767,['Transaction Performance']
my bank,5,2025-10-05,CBE,Google Play Store,Neutral,0.0,['Other']
Data,5,2025-10-04,CBE,Google Play Store,Neutral,0.0,['Other']
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play Store,Negative,-0.798,['Feature Requests & Reliability']
excellent app with lots of features,5,2025-10-04,CBE,Google Play Store,Positive,0.5719,['Feature Requests & Reliability']
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play Store,Positive,0.4404,['Other']
so special,5,2025-10-03,CBE,Google Play Store,Positive,0.4019,['Other']
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play Store,Neutral,0.0,['Other']
woow cbe,5,2025-10-03,CBE,Google Play Store,Neutral,0.0,['Other']
cbe the best bank app,4,2025-10-03,CBE,Google Play Store,Positive,0.6369,['Other']
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play Store,Positive,0.6369,['Other']
Rijalufaris,5,2025-10-02,CBE,Google Play Store,Neutral,0.0,['Other']
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play Store,Positive,0.128,['User Interface & Experience']
imoo,3,2025-10-02,CBE,Google Play Store,Neutral,0.0,['Other']
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play Store,Positive,0.25,"['Transaction Performance', 'Customer Support & Service']"
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play Store,Negative,-0.34,['Feature Requests & Reliability']
enkorabetalen,5,2025-10-01,CBE,Google Play Store,Neutral,0.0,['Other']
Gamada mahamadi,1,2025-09-30,CBE,Google Play Store,Neutral,0.0,['Other']
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play Store,Positive,0.4767,['Feature Requests & Reliability']
verfcasencod,5,2025-09-30,CBE,Google Play Store,Neutral,0.0,['Other']
you can't get your own transaction history,1,2025-09-29,CBE,Google Play Store,Neutral,0.0,['Transaction Performance']
sintu,5,2025-09-28,CBE,Google Play Store,Neutral,0.0,['Other']
BEST,5,2025-09-28,CBE,Google Play Store,Positive,0.6369,['Other']
Bank of Ethiopia,5,2025-09-28,CBE,Google Play Store,Neutral,0.0,['Other']
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play Store,Positive,0.7096,['Other']
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play Store,Positive,0.91,['Feature Requests & Reliability']
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play Store,Negative,-0.4767,['Other']
niceapp,5,2025-09-26,CBE,Google Play Store,Neutral,0.0,['Other']
the best app of all,5,2025-09-25,CBE,Google Play Store,Positive,0.6369,['Other']
❤️,5,2025-09-25,CBE,Google Play Store,Neutral,0.0,['Other']
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play Store,Positive,0.1779,"['Account Access & Security', 'Feature Requests & Reliability']"
Juhaar,5,2025-09-24,CBE,Google Play Store,Neutral,0.0,['Other']
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play Store,Positive,0.5574,['Other']
bist app tankyou,4,2025-09-23,CBE,Google Play Store,Neutral,0.0,['Other']
this is very useful and consistent app,5,2025-09-23,CBE,Google Play Store,Positive,0.4404,['Other']
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play Store,Positive,0.4404,"['Transaction Performance', 'Customer Support & Service', 'Feature Requests & Reliability']"
So good,5,2025-09-23,CBE,Google Play Store,Positive,0.4404,['Other']
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play Store,Positive,0.4404,['Feature Requests & Reliability']
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play Store,Positive,0.4404,['Other']
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play Store,Positive,0.7717,['Transaction Performance']
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play Store,Positive,0.6249,"['User Interface & Experience', 'Feature Requests & Reliability']"
very important app,4,2025-09-21,CBE,Google Play Store,Positive,0.2023,['Other']
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play Store,Positive,0.8807,['Feature Requests & Reliability']
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play Store,Neutral,0.0,['Other']
